sample	stage	sequencing_round	parents	f1	cross_type	species	location	m_unique	p_unique	mean_caudal_lightness	mean_jaw_length	mean_nose_length	mean_nose_height	lake
OZT1	48hpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OZT2	48hpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
OZT3	48hpf	3	osprey_scale_eater_female_x_osprey_snail_eater_male	OPxOM	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
PAE1	8dpf	3	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h	NA	NA	NA	NA	NA
PAE2	8dpf	3	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h	NA	NA	NA	NA	NA
PAE5	8dpf	3	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h	NA	NA	NA	NA	NA
PAT1	48hpf	2	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h	NA	NA	NA	NA	NA
PAT2	48hpf	2	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h	NA	NA	NA	NA	NA
PAT3	48hpf	2	cunningham_p_type_female_x_crescent_pond_generalist	UPxCA	h	h	h	h	h	NA	NA	NA	NA	NA
CME1	8dpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
CME2	8dpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
CME5	8dpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
CMT1	48hpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
CMT2	48hpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
CMT3	48hpf	3	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
CPME1	8_10dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
CPME2	8_10dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
CPME3	8_10dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
CPMJ1	17_20dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
CPMJ2	17_20dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
CPMJ3	17_20dpf	1	crescent_pond_snail_eater	CRPM	p	m	ss	b	a	155.7576667	-0.128313327	0.278139137	1.433066953	Crescent Pond
LLME1	8_10dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a	151.66675	-0.246604329	0.475746948	1.79025622	Little Lake
LLME2	8_10dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a	151.66675	-0.246604329	0.475746948	1.79025622	Little Lake
LLME3	8_10dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a	151.66675	-0.246604329	0.475746948	1.79025622	Little Lake
LLMJ1	17_20dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a	151.66675	-0.246604329	0.475746948	1.79025622	Little Lake
LLMJ2	17_20dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a	151.66675	-0.246604329	0.475746948	1.79025622	Little Lake
LLMJ3	17_20dpf	1	little_lake_snail_eater	LILM	p	m	ss	b	a	151.66675	-0.246604329	0.475746948	1.79025622	Little Lake
OME1	8dpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a	164.86575	-0.147503128	0.208725044	1.700554712	Osprey Lake
OME2	8dpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a	164.86575	-0.147503128	0.208725044	1.700554712	Osprey Lake
OME3	8dpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a	164.86575	-0.147503128	0.208725044	1.700554712	Osprey Lake
OME4	8dpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a	164.86575	-0.147503128	0.208725044	1.700554712	Osprey Lake
OME5	8dpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a	164.86575	-0.147503128	0.208725044	1.700554712	Osprey Lake
OMT1	48hpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a	164.86575	-0.147503128	0.208725044	1.700554712	Osprey Lake
OMT2	48hpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a	164.86575	-0.147503128	0.208725044	1.700554712	Osprey Lake
OMT3	48hpf	2	osprey_snail_eater	OSPM	p	m	ss	b	a	164.86575	-0.147503128	0.208725044	1.700554712	Osprey Lake
CPE1	8dpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
CPE2	8dpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
CPE3	8dpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
CPE4	8dpf	2	crescent_pond_scale_eater	CRPP	p	p	ss	a	b	140.4656	0.395164366	-0.347504423	-0.640549619	Crescent Pond
